second,Volt,Volt
-8.27000E-03,-8.92271E-03,-6.86868E-03
-8.26000E-03,-8.92271E-03,-6.96290E-03
-8.25000E-03,-8.98552E-03,-6.96290E-03
-8.24000E-03,-8.98552E-03,-6.96290E-03
-8.23000E-03,-8.95411E-03,-6.83728E-03
-8.22000E-03,-8.98552E-03,-6.90009E-03
-8.21000E-03,-9.01693E-03,-6.90009E-03
-8.20000E-03,-9.04833E-03,-7.02572E-03
-8.19000E-03,-9.01693E-03,-6.96290E-03
-8.18000E-03,-9.01693E-03,-6.99431E-03
-8.17000E-03,-8.98552E-03,-6.86868E-03
-8.16000E-03,-9.04833E-03,-6.93150E-03
-8.15000E-03,-8.98552E-03,-6.96290E-03
-8.14000E-03,-8.95411E-03,-6.99431E-03
-8.13000E-03,-8.95411E-03,-6.96290E-03
-8.12000E-03,-8.95411E-03,-6.90009E-03
-8.11000E-03,-8.89130E-03,-6.96290E-03
-8.10000E-03,-8.95411E-03,-6.99431E-03
-8.09000E-03,-9.01693E-03,-6.90009E-03
-8.08000E-03,-8.89130E-03,-6.96290E-03
-8.07000E-03,-8.98552E-03,-6.96290E-03
-8.06000E-03,-8.85989E-03,-6.83728E-03
-8.05000E-03,-8.89130E-03,-6.90009E-03
-8.04000E-03,-8.98552E-03,-6.90009E-03
-8.03000E-03,-8.98552E-03,-6.90009E-03
-8.02000E-03,-8.82848E-03,-6.80587E-03
-8.01000E-03,-8.92271E-03,-6.83728E-03
-8.00000E-03,-9.01693E-03,-6.96290E-03
-7.99000E-03,-9.04833E-03,-6.90009E-03
-7.98000E-03,-8.95411E-03,-6.93150E-03
-7.97000E-03,-8.92271E-03,-6.93150E-03
-7.96000E-03,-8.82848E-03,-6.93150E-03
-7.95000E-03,-8.89130E-03,-6.93150E-03
-7.94000E-03,-8.98552E-03,-6.96290E-03
-7.93000E-03,-8.95411E-03,-7.02572E-03
-7.92000E-03,-8.92271E-03,-6.96290E-03
-7.91000E-03,-9.01693E-03,-6.93150E-03
-7.90000E-03,-8.89130E-03,-7.02572E-03
-7.89000E-03,-8.95411E-03,-6.90009E-03
-7.88000E-03,-8.98552E-03,-6.99431E-03
-7.87000E-03,-9.04833E-03,-6.96290E-03
-7.86000E-03,-8.92271E-03,-6.93150E-03
-7.85000E-03,-8.92271E-03,-6.96290E-03
-7.84000E-03,-8.89130E-03,-6.93150E-03
-7.83000E-03,-8.95411E-03,-6.99431E-03
-7.82000E-03,-8.95411E-03,-6.99431E-03
-7.81000E-03,-8.92271E-03,-6.90009E-03
-7.80000E-03,-9.01693E-03,-6.96290E-03
-7.79000E-03,-8.92271E-03,-6.93150E-03
